2024-10-01 09:23:57,833 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.farmcia:ProyectoJPAMAVENmarTuno:0.0.1-SNAPSHOT @ D:\01-10-24----\01-10-24 CLASEEE\ProyectoJPAMAVENmarTuno\pom.xml.
2024-10-01 09:23:57,833 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.farmcia:ProyectoJPAMAVENmarTuno:0.0.1-SNAPSHOT @ D:\01-10-24----\01-10-24 CLASEEE\ProyectoJPAMAVENmarTuno\pom.xml.
2024-10-01 09:23:59,758 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-01 09:23:59,764 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-01 09:23:59,767 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-01 09:23:59,768 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\01-10-24----\01-10-24 CLASEEE\ProyectoJPAMAVENmarTuno\src\test\resources
2024-10-01 09:24:00,989 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.farmcia:ProyectoJPAMAVENmarTuno:0.0.1-SNAPSHOT @ D:\01-10-24----\01-10-24 CLASEEE\ProyectoJPAMAVENmarTuno\pom.xml.
2024-10-01 09:24:04,160 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-01 09:24:04,162 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-01 09:24:04,163 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-01 09:24:04,164 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\01-10-24----\01-10-24 CLASEEE\ProyectoJPAMAVENmarTuno\src\test\resources
